Name,Breed,Location,Gender,Age,Weight,Image,Description
Wendy,Great Dane / Pit Bull Terrier,Nevins Farm,Female,5 Years,88.18,https://www.mspca.org/wp-content/uploads/2023/06/Wendy.jpg?1700198752," If you haven’t yet met Wendy– you’re missing out! Ms. Wendy is a 5 year old pitbull great dane mix who is our resident social butterfly at the Methuen shelter! Wendy loves all people and has been doing a GREAT job practicing her best manners. Wendy is housebroken, polite, and smart and is looking for a cozy spot to call home. Since Wendy is a big lady, she is looking for adopters who are willing and ready to continue her training. Wendy has been doing great with her positive reinforcement training since arriving to the shelter. During her stay, she’s been working on walking on a loose leash on a harness, disengaging from other animals in the environment (as she has a strong desire for rabbits (; ), and mastering some other special cues like “sit” “lay down” and “drop it”. Wendy also loves to bounce around a yard space with her volunteer friends and entertain herself with some lowkey play time. After Wendy’s had the chance to get some of her energy out, she is also a master snuggler, and is sure to win your heart over if you meet her! While Wendy has been able to successfully navigate a world with lots of dogs, she would likely do best as the only dog in the home. She has the potential to live with another dog, however it would require much more management and that dog would need to be more tolerant of her big and bossy playstyle. Wendy has a high prey drive so unfortuntely she isn’t a candidate to live with a cat or other small mammal. Wendy has the potential to live with kids, however she is a big gal still working on her manners, so bigger teens may be best! If you are interested in Wendy, please stop by our Methuen Adoption Center between the hours of 12PM-3PM Tuesday-Sunday!"
Rilee,Pit Bull Terrier,Nevins Farm,Female,7 Years,68.12,https://www.mspca.org/wp-content/uploads/2023/09/Rilee1-1-1024x1024.jpg?1700198760," Rilee is a happy girl that loves to give kisses to
her favorite people and now that she`s comfortable, she wiggles her way through the halls of the shelter to say hi to everyone she meets. She loves to entertain her friends with her silly antics when she`s playing with toys. This good girl is house and crate trained! Because Rilee has been through many changes in a short time, her adopters should plan on giving her plenty of time with just household members before slowly expanding her world. This time gives her an opportunity to bond with her family, while they learn what makes her comfortable. She has not had much experience meeting new dogs and while she may eventually be able to have a walking buddy, she is not a candidate for daycare or dog parks. Rilee would likely be most comfortable as the only dog in the home and politely declines the company of cats. Any kids in the family must be older and have previous dog experience. To learn about this pretty pittie lady, stop by the shelter during open hours to talk to staff.
Tuesday-Sunday 12-3p"
Georgie,Labrador Retriever Mix,Cape Cod,Male,8 Years,69.45,https://www.mspca.org/wp-content/uploads/2023/09/4-3.jpeg?1700198771," This happy guy is as smart as he is handsome! He knows sit, down, and speak, and walks nicely on the leash. Georgie seems to enjoy the company of humans more than canine friends, and we think he would do best as the only dog in the home. He loves working on his tricks, playing with toys, and getting pets from his people. Honestly, we think you`d be hard pressed to find a dog with a bigger smile than this guy, when he`s with his humans. Georgie is 7 years old and has had a few transitions in a short period of time, so adopters should plan on giving him plenty of time to settle in with just household members. This will help this good boy bond with his new family while everyone gets acquainted. Any kids in the family should be old enough to respect his needs as he adjusts to his new home. If you are looking for a great walking and cuddling partner, Georgie is your man! He is a volunteer favorite! Come and meet him today! Open hours at our Cape location are Tuesday-Sunday 1-4pm.
Weight – 69.45 lbs"
Skylar,Pit Bull Terrier,Nevins Farm,Female,1 Years,18.74,https://www.mspca.org/wp-content/uploads/2023/09/Screenshot_20231108_105420_Outlook-810x1024.jpg?1700198781," Smart, sweet and cute are all fitting words to describe Ms. Skylar! Skylar is a one year old pitbull mix ready to find her home! While Skylar is happy to lay down and entertain herself with some stuffy toys, she is also a young active dog who is ready to bring the party! Skylar is looking for adopters who are willing to put a little extra effort getting her started with some of the basics a young dog may require like training, settling into a new space, and navigating the world, and will benefit from people willing to keep her world small to start. Adopters should be prepared for Skylar to show her more active side as she gets comfortable and settles in. While Skylar is likely capable of having some well-matched dog friends, another dog in the home would need to be accepting of a high energy young dog who can be a bit awkward. At this time, Skylar is not looking to live with cats or younger kids. If Skylar sounds like a match for you, feel free to stop by our Methuen Adoption Center between the hours of 12PM-3PM Tuesday-Sunday!"
Ace,Pit Bull Terrier,Nevins Farm,Male,1 Years,59.52,https://www.mspca.org/wp-content/uploads/2023/09/IMG_20231108_104136.jpg?1700198791," Handsome, energetic, and fun, thats our boy Ace! Ace is a 1 year old pitbull terrier looking for his future home! While Ace is excited about life and a happy-go-lucky guy with his friends, he can be a bit worried to start so adopters should be ready to give this guy a quiet spot to transition home. Additionally, Ace is quite an active guy so he`s looking for adopters ready to keep him both mentally and physically stimulated! While Ace loves dogs, his ideal roommate would be a well-mannered adult dog who could show him the ropes! At this time, Ace isn not looking to live with cats or kids. If Ace sounds like the guy for you, please visit our Methuen Adoption Center Tuesday-Sunday 12PM-3PM!"
Joule,Boxer / Pit Bull Terrier,Nevins Farm,Female,5 Months,20.00,https://www.mspca.org/wp-content/uploads/2023/11/1-67.jpeg?1700198801," Meet young puppy Joule! Joule is happy, bouncy, and full of life! Joule loves her friends over at the shelter and has been our latest little puppy project. Thus far in our care, Joule is working hard at practicing her polite greetings, comfortably navigating the world on leash, and using her little puppy mouth in appropriate ways all by the means of force-free, positively reinforced interactions. We are looking for adopters willing to take on this little lady who will require a bit more support than your average puppy while she continues to learn the ropes of life! Joule is a bit worried about dogs, and would prefer to be the only pup in the home. Joule has a history of living with a cat that she was pretty interested in playing with, so any cats involved in her life should be dog-savvy, and comfortable with a high-energy pup! Joule is looking to join a home with adults only at this time to best set her on the track to continue practicing being her best self in a lower traffic home. If our smart cookie Joule sounds like the pup for you, please head to the Methuen MSPCA location Tuesday-Sunday between the hours of 12PM-3PM!"
Nala,German Shepherd Dog Mix,Boston,Female,4 Years,72.53,https://www.mspca.org/wp-content/uploads/2023/10/nala1.jpg?1700198812," Nala is large and in charge, and is ready to join her new home! She has a sweet personality and enjoys spending time with her people. She also has a playful side to show off when she is comfortable! Nala has let us know that she needs all the attention to herself, so she will likely prefer to be the only pet in the home for now, but could live with children in the home with plenty of supervision. If you think you are a good fit and would like to learn more, stop by our Boston Adoption Center. We have open adoption hours Tuesday-Sunday from 12pm-3pm no appointment needed to speak to a staff person regarding available dogs.
For more information on our adoption process, please visit https://www.mspca.org/adoption-centers/how-to-adopt/ Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) they are interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Daisy,Beagle / Catahoula Leopard Hound,Nevins Farm,Female,7 Months,48.28,https://www.mspca.org/wp-content/uploads/2023/10/4.jpeg?1700198822," Daisy is a spunky young pup ready to go home! Daisy was transported from the south and looks like a Catahoula mix, but what she’s mixed with is a mystery! Daisy is silly and playful, and is looking for help learning all of the things puppies do. She is still learning that it is not polite to jump on people or use her mouth while playing, so she would do best in a home with patient adopters who are able to spend time training Daisy and meeting her needs. Daisy would do best with teens that can participate in training. She could do well with a dog who is ok with puppy energy or a cat with slow introductions. Come on down to see if she’s the pup for you! If you think you are a good fit and would like to learn more, please click on the blue Inquire button above, fill out the form, and stop by our Boston Adoption Center. We have open adoption hours Tuesday-Sunday from 12pm-3pm – no appointment needed to speak to a staff person regarding available dogs. For more information on our adoption process, please visit https://www.mspca.org/adoption-centers/how-to-adopt/ Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) they’re interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Tammy,American Pit Bull Terrier Mix,Salem,Female,1 Years,44.53,https://www.mspca.org/wp-content/uploads/2023/10/1-30.jpeg?1700198832," Weight: 39 lbs Are you ready to bring a bundle of energy and sweetness into your life? Look no further than Tammy, an adorable 1-year-old dog with a heart full of love to share! Tammy is a ball of energy, always ready for an adventure by your side. Whether its a brisk morning walk, an exciting game of fetch, or a leisurely hike, shell be your enthusiastic partner in crime. Her zest for life is truly contagious, and you will find yourself invigorated by her presence. At 39 lbs, Tammy is the perfect size to fit into your heart and home. Her sweet nature is evident in every wag of her tail and every affectionate nuzzle she gives. She is a true people person and thrives on human interaction, making her an ideal choice for someone seeking a devoted and loving companion. While Tammy may not have received formal training yet, her eagerness to learn and please will make the training process a rewarding journey. With a patient and dedicated owner, she will learn all the manners she needs to become a model canine citizen. The bond you will create through training will only deepen the connection between you and Tammy. It’s important to note that Tammy is not particularly fond of other dogs. She prefers to have your undivided attention and is not the best match for a household with other canine companions. Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) they are interested in and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Rose,Labrador Retriever Mix,Salem,Female,1 Years,61.29,https://www.mspca.org/wp-content/uploads/2023/10/1-118.jpeg?1700198842," Meet Rose, a charming one-year-old female dog who is eagerly awaiting her forever home. Rose is a loving and active canine companion who is sure to bring joy and happiness into your life. Her favorite pastime is playing fetch, and she’s always up for a game of chase with her favorite tennis ball. Rose’s playful nature extends beyond just toys – she adores the company of other dogs and enjoys every opportunity for some four-legged fun. With her boundless energy and affectionate personality, Rose is the perfect addition to any family looking for a loyal and playful furry friend. Give Rose a loving home, and she’ll shower you with love and endless playtime."
Kappa,Pit Bull Terrier Mix,Boston,Female,2 Years,52.47,https://www.mspca.org/wp-content/uploads/2023/10/3-6.jpeg?1700198853," Meet Kappa! This gem of a dog is a ball of enthusiasm shes ready to greet you with a big smile and open arms (really, she may jump up and try to give you a hug!). Shes the jogging buddy of your dreams, who also loves a good nap in the sun. Kappa may be able to live with a dog or cat with slow introductions. Come to Boston to meet this sweet girl today!
If you think you are a good fit and would like to learn more, please click on the blue Inquire button above, fill out the form, and stop by our Boston Adoption Center. We have open adoption hours Tuesday-Sunday from 12pm-3pm no appointment needed to speak to a staff person regarding available dogs.
For more information on our adoption process, please visit https://www.mspca.org/adoption-centers/how-to-adopt/
Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) theyre interested in and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Dewey,Pit Bull Terrier,Boston,Male,2 Years,49.60,https://www.mspca.org/wp-content/uploads/2023/10/1-49.jpeg?1700198863," Meet Dewey! This 2 year old bowling ball is a class clown – sometimes seemingly not in control of his limbs, he can be a bit on the mischevious (but not very sneaky) side! His one-man fetch game is unmatched, although he might make his own fun without a little bit of puppy proofing and providing some toys and chewies for him to work on at home. One thing is for sure: Dewey will have you laughing every step of the way. Dewey may be able to live with another dog with a plan for slow introductions. If you think you are a good fit and would like to learn more, please click on the blue Inquire button above, fill out the form, and stop by our Boston Adoption Center. We have open adoption hours Tuesday-Sunday from 12pm-3pm no appointment needed to speak to a staff person regarding available dogs.
For more information on our adoption process, please visit https://www.mspca.org/adoption-centers/how-to-adopt/ Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) theyre interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Daryl,Labrador Retriever Mix,Nevins Farm,Male,1 Years,44.75,https://www.mspca.org/wp-content/uploads/2023/10/1-13.jpeg?1700198873," Meet 1 year old lab/hound mix Daryl! Daryl was brought to us through our relocation program, so we don’t have too much history as to what his life was like prior to him coming to our shelter. However, he has spent a short period of time in a home setting where we learned he has some of the makings of house-training, and he loves to entertain himself with toys! As you might guess from his picture, Daryl is going to be a high energy dog who will require lots of work on basic manners and leash walking skills, so adopters should be ready (and excited!) for a dog that will require lots of mental and physical activity, in addition to some training. Daryl has the potential to join a home with a similarly matched dog friend, but will likely require a slow-introduction to start! Daryl is not looking for a home with cats or kids at this time as he’s still working on mastering being his best good-boy self. If you are interested in adopting this young boy who is excited about life, feel free to stop by our Methuen Adoption Center between the hours of 12PM-3PM Tuesday-Sunday"
Bozo,Pit Bull Terrier Mix,Salem,Male,1 Years,44.97,https://www.mspca.org/wp-content/uploads/2023/10/2-7.jpeg?1700198883," Meet Bozo, an energetic and exuberant young male dog ready to bring boundless joy to your life. Bozo is a bouncy ball of fur, always up for an adventure and eager to play with other dogs who share his enthusiasm for romping and having a great time. He’s a social butterfly and absolutely adores people, even if he sometimes gets a bit too enthusiastic and jumpy in his greetings. Underneath his boisterous exterior, Bozo is a truly sweet and kind-hearted soul, and his affectionate nature is bound to melt your heart. Bozo is the perfect companion for an active household, as he’s always ready for a game of fetch, a long walk, or a day at the dog park. With a little training and guidance, he’ll be the ultimate playmate for those who appreciate his vivacious spirit and affectionate demeanor. If you’re looking for a four-legged friend to share your adventures and fill your days with laughter, Bozo is the pup you’ve been searching for."
Roxy,Pit Bull Terrier,Nevins Farm,Female,6 Years,0.00,https://www.mspca.org/wp-content/uploads/2023/10/IMG_6874-768x1024.jpg?1700198893," Roxy is a beautiful 6 year old pit bull. This sweet lady is ready to find her forever home. If you’re looking for a perfect size dog who is a couch potato, Roxy is your girl! Although she is a couch potato, she does have her playful moments. She is pretty trainy and walks perfectly on a leash. She loves her slow paced, sniffy walks. While in the future she might enjoy some well-mannered walking pals, at this time Roxy would like to be the only gal in your home! Roxy also says no thank you to cats in the home. Roxy does have past history with living with older children and would need to go to a home with older children who can read and understand her body language. Roxy is a classic pittie gal with some painful skin, so her adopter will need to be prepared to have a close relationship with their veterinarian! If you’d like more information on this pretty girl, please stop by the shelter during open hours to talk to staff. Tuesday-Sunday 12-3p"
Kodiak,Siberian Husky Mix,Boston,Male,2 Years,51.81,https://www.mspca.org/wp-content/uploads/2023/10/kodiakk.jpg?1700198903," Introducing Kodiak! He’s smart, energetic, and loves to train! Kodiak is a worried guy who needs a little time to warm up to new people. Once he does he is playful and snuggly, but will need a family who can take things slowly and help him settle in at his own pace. He could live with older teens who have nice shy dog skills and can help to participate in his training, and maybe another patient dog friend. If you think you are a good fit and would like to learn more, stop by our Boston Adoption Center. We have open adoption hours Tuesday-Sunday from 12pm-3pm – no appointment needed to speak to a staff person regarding available dogs. For more information on our adoption process, please visit https://www.mspca.org/adoption-centers/how-to-adopt/ Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) they’re interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Beverly,Labrador Retriever Mix,Nevins Farm,Female,1 Years,42.33,https://www.mspca.org/wp-content/uploads/2023/11/imagejpeg_0.jpg?1700198914," Wiggles, happy smiles and lots of fun when you welcome Beverly into your home! Beverly is just a year old and she traveled up from the south to find her forever family. This little lady has been through quite a few changes in a short time, so her adopters should give her plenty of time to settle in with just household members while everyone gets acquainted. It`s always best to `puppy proof` the home including a safe confinement area where she can relax when needed. She may be able to join a home with a well matched resident dog or a dog savvy cat. Any kids in the family should be older as Beverly still gets very excited and can be a bit jumpy. If you think this bundle of fun is for you, please stop by to chat with staff. Tuesday Sunday 12-3p"
Onyx,Labrador Retriever Mix,Salem,Female,4 Months,20.94,https://www.mspca.org/wp-content/uploads/2023/11/1-64.jpeg?1700198924," Meet Onyx, a vibrant and spirited puppy bursting with energy and potential. Onyx is ready to bring excitement and liveliness to your home. Like all puppies, Onyx is eager to soak up knowledge, so training is essential to harness her exuberance. With the right guidance, she’s poised to become a well-behaved and devoted companion. If you’re up for the adventure of raising a lively pup, come meet Onyx! Together, you can embark on a journey of learning, bonding, and creating cherished memories with this energetic bundle of joy by your side. Any kiddos in the home should be able to participate in her training and be comfortable around a pup that is still working on her manners. Can go home with another dog that is tolerant of playful puppy antics! Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) they’re interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Blue,Siberian Husky,Nevins Farm,Male,1 Years,75.62,https://www.mspca.org/wp-content/uploads/2023/11/20231108_071936-768x1024.jpg?1700198933," Are you looking for a young, active, adventure buddy? 1 year old Blue is looking and waiting for a companion who is willing to give him all the love and attention that he deserves! Blue is a dog who has experienced some separation related distress in his previous home, so he is looking for adopters who are committed to having a lifestyle that is able to best help set him up for success. Blue is a young boy and is still learning some of the basics of manners, and does really great with a positive reinforcement approach! Blue is a dog who would do best as the only pet in the home, and with older, sturdier teens who have a good grasp on dog body language. If Blue sounds like a fit for your home, please visit our Methuen Adoption Center Tuesday-Saturday 12PM-3PM!"
Maxy,Siberian Husky,Salem,Male,3 Years,50.71,https://www.mspca.org/wp-content/uploads/2023/11/1-77.jpeg?1700198944," This handsome guy is Maxy! Maxy is a sweet guy with lots of bouncy energy and loads of personality. He has some of the classic husky characteristics such as vocalizations/howling, and he loves to go for solo adventures, and has been known to escpae his yard and go for a jaunt! His new family should be ready to prioritize his safety by keeping a close eye on him when he is outside. He has a history of doing well with some young kids in his previous home, so a young family with kiddos that can respect his space as he settles in could be a great fit! This guy is super fun and absolutely STUNNING to look at, and has the makings of a great family pet. He has also done well with toher dogs here at the shelter that dont mind his goofy antics. Come see this silly guy today."
Al,Black and Tan Coonhound Mix,Salem,Male,2 Years,59.97,https://www.mspca.org/wp-content/uploads/2023/11/1-115.jpeg?1700198954," Meet Al!
This handsome guy is ready to wiggle his way into your heart. Al is looking for an adopter who will let him sniff, run, and play to his hearts content! Al has done well with some doggie playdates while here in the shelter, so a sibling could be in the cards for him. Any kiddos should be comfortable with a big goofball who is still fine tuning his manners. This guy cant help but make you smile, and is just a joy to romp around with. Come see him today!"
Nelly,Pit Bull Terrier Mix,Nevins Farm,Female,5 Years,57.54,https://www.mspca.org/wp-content/uploads/2023/11/20231104_073535-768x1024.jpg?1700198964," Meet our smushy and sweet girl Nelly! Nelly is a 5 year old dog who is energetic, smart, and loves her people! While she requires a little bit of time to get lovey with her new family, once she knows you she is sweet as a peach. Nelly is looking for adopters who are willing to give her adult-self adequate time and space to fully transition into her new home, as she’s been through a lot of change in a pretty short period of time. This means respecting her boundaries, and taking it slow while she gets to know everyone in the home. Bonus: Nelly appears to be house-trained already, but adopters should understand that in a new setting it might take her some time to always make the mark! Nelly is currently looking to go to a home where she is the only pet, but has the potential to live in a neighborhood that has dogs in it– so long as her people are diligent in how they go about doing introductions! Nelly has no known experience living with kids, but could likely do well with teens who are able to read dog body language and give her space while she settles in. If Nelly sounds like a fit for your home, feel free to stop by our Methuen Adoption Center 12PM-3PM Tuesday-Sunday!"
Charlie,Australian Cattle Dog Mix,Cape Cod,Male,1 Years,79.37,https://www.mspca.org/wp-content/uploads/2023/11/1-44.jpeg?1700198975," Meet Charlie! He is a bundle of energy, always ready to play, explore and enjoy everything life has to offer. At just a year old, Charlie still has a lot to learn, but will make an amazing companion to anyone looking for an active furry friend. While Charlie is excellent with people and other dogs, he gets too excited at times, resulting in jumping up and getting too rowdy. Charlie needs a patient and dedicated adopter who will help him learn new skills and manage his environment to help him be the best dog he can be. He could live with a tolerant, adult role-model dog to show him the ropes. Kids who are old enough to participate in training could be a good fit! If you are looking for an energetic and social pup to become your new best friend, Charlie might be the one for you! Stop by our open hours and see if you are the right match for each other."
Dahlia,German Shorthaired Pointer Mix,Nevins Farm,Female,1 Years,44.09,https://www.mspca.org/wp-content/uploads/2023/11/1-68.jpeg?1700198985," Do shy dogs just so happen to hold a special place in your heart? Dahlia is about a year and a half old and looking to reside in a quiet home with adopters who are willing to go the extra mile for a fearful, yet sweet dog! Dahlia is looking for adopters who have a confident and polite resident dog who can help her navigate the world, and teach her all the wonderful parts of being a dog. Dahlia is a dog who was brought to us as part of our relocation program, so we don’t have much history as to what her life has been like up until this point. Adopters should feel comfortable helping Dahlia with some of the basics as she settles in, and understand that a dog like her requires extra patience as the priority in taking her home should be allowing her to decompress. We have no history on if Dahlia has ever met a cat, but has the potential to live with a dog-savvy cat with a slow introduction. Dahlia is not looking to live with young kids at this time, but has the potential to live with respectful teens who can understand her desire for space. If Dahlia sounds like a match for you and your companion dog, feel free to visit our Methuen Shelter between the hours of 12PM-3PM Tuesday-Sunday!"
